0.8602415458937198
class4,p
II,0.5444983622329511
nonevent,0.6568502609219695
II,0.8116230642002523
Ib,0.8616959678546224
Ib,0.5997663481944351
Ib,0.8477515663502686
nonevent,0.34899810158267713
nonevent,0.3215760316302632
Ib,0.8091107273279734
Ib,0.7116887610662708
nonevent,0.5316684845463332
Ib,0.756433333814734
nonevent,0.6143830061591943
II,0.565697612739013
Ib,0.8037871074744156
nonevent,0.6180769056172875
Ib,0.7546438473710881
Ib,0.6825407035597161
Ib,0.8569575135941758
nonevent,0.4280991703794439
nonevent,0.5135106253030737
nonevent,0.15481653401622528
Ib,0.7525099597127474
nonevent,0.5740722747124563
nonevent,0.16359016040814328
Ib,0.806490665209942
nonevent,0.4583125128932399
Ib,0.8157914581439825
nonevent,0.49474541308313486
nonevent,0.20994784668610808
nonevent,0.47138874701425304
II,0.8332749566639353
Ib,0.6492383085162017
nonevent,0.6825300968820203
Ib,0.8764150034402259
Ib,0.8567894399160321
Ib,0.8480563778355117
nonevent,0.6585791856293599
Ib,0.7874017684908297
nonevent,0.34765286211521124
nonevent,0.4702172138730861
II,0.8049084018395611
nonevent,0.7178819563353973
nonevent,0.4307045749586482
nonevent,0.6220862272044715
nonevent,0.2810272498966594
nonevent,0.6782592229188688
nonevent,0.7182840977596868
Ib,0.816452266665129
II,0.6977983154332679
Ib,0.773583568024059
nonevent,0.4986696533582388
nonevent,0.3607010290615742
nonevent,0.6241922526028457
nonevent,0.40819722447684686
nonevent,0.3203922392368944
Ib,0.8455729725508089
nonevent,0.5217574379135069
Ib,0.8628148113709957
II,0.5860080233848598
nonevent,0.28753111928842034
nonevent,0.5581916333748159
Ib,0.4941562864824082
Ib,0.7693661170239247
Ib,0.8603201468459245
nonevent,0.48550799757170304
nonevent,0.46920240672248087
II,0.8050561712873489
nonevent,0.7662079147535059
Ib,0.8260926094830765
Ib,0.856784124902431
Ib,0.8350991485450507
nonevent,0.5861501535473449
nonevent,0.3928819005519417
nonevent,0.19309509305374012
nonevent,0.5736528531776058
nonevent,0.501364387434508
II,0.6777859771795536
nonevent,0.4434070891198299
Ib,0.5014664547088004
II,0.8664165722765068
II,0.6333863144933096
nonevent,0.6152377800144532
nonevent,0.16495716265314514
Ib,0.8392223054643484
Ib,0.7974728096813262
nonevent,0.26972887574715476
nonevent,0.5025438180177613
nonevent,0.578794857586299
Ib,0.7755253039706412
nonevent,0.47189075526341595
nonevent,0.42497967874412124
nonevent,0.3380912717529091
Ib,0.8506804768872552
II,0.861770728657031
Ib,0.6678323781457983
nonevent,0.6570507824553529
Ib,0.7009472964290268
II,0.49928903112304335
Ib,0.8746981823759611
